Wall time,Step,Value
1621835291,20549,-19306.5
1621835344,41419,-15390.53223
1621835399,62314,-13389.45508
1621835454,83142,-12819.16504
1621835510,104076,-12039.36816
1621835567,125124,-10926.74219
1621835623,146058,-10427.49609
1621835680,166969,-10065.17578
1621835746,187919,-9658.734375
1621835812,208874,-9269.165039
1621835875,229813,-9092.533203
1621835936,250658,-8953.625977
1621835997,271679,-8608.352539
1621836059,292631,-8403.204102
1621836149,313579,-8178.311035
1621836217,334582,-8004.041016
1621836280,355539,-7846.83252
1621836340,376515,-7743.123047
1621836401,397542,-7580.958984
1621836463,418501,-7502.871582
